"tid","Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation","Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket","Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.","Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag","Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener","Priser.i.dag..sammenlignet.med.for.et.aar.siden","Priser.om.et.aar..sammenlignet.med.i.dag","Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder","indikator","forbrug","realvaekst"
"2002K3",70.3333333333333,-8.66666666666667,-6.66666666666667,4.33333333333333,-5.33333333333333,2.33333333333333,-14,6,27.3333333333333,-13.3333333333333,23,29,9.52777777777778,210.9,1.29682997118157
"2002K4",66.6666666666667,-9,-6,11.3333333333333,-7.33333333333333,4.33333333333333,-15,5,21.6666666666667,-16.3333333333333,12.3333333333333,28.6666666666667,8.02777777777778,211,0.0474158368895194
"2003K1",73.6666666666667,-0.666666666666667,-6.66666666666667,23.3333333333333,-10.3333333333333,8,-12.6666666666667,4.66666666666667,25,-18,15,29.6666666666667,10.9166666666667,209.2,-0.853080568720388
"2003K2",65,-5.66666666666667,-6,27.3333333333333,-12.3333333333333,4,-15,7.66666666666667,26.3333333333333,-18.6666666666667,8.66666666666667,29.6666666666667,9.25,210.9,0.812619502868084
"2003K3",68,-7.66666666666667,-5.66666666666667,24,-7.33333333333333,0.666666666666667,-12.3333333333333,6,25,-23.3333333333333,-0.333333333333333,27.3333333333333,7.86111111111111,213,0.995732574679931
"2003K4",71.6666666666667,-4.33333333333333,-3.66666666666667,23,-8,-0.333333333333333,-15,5.66666666666667,24.6666666666667,-26.6666666666667,-1,27.3333333333333,7.77777777777778,216.6,1.69014084507042
"2004K1",68,-6.66666666666667,-3,21,-4.33333333333333,-4.33333333333333,-15.3333333333333,7,24,-26,0,29.3333333333333,7.47222222222222,217.5,0.415512465373968
"2004K2",68,-5.66666666666667,-0.333333333333333,7.33333333333333,7,-7.66666666666667,-16.6666666666667,12.3333333333333,26.3333333333333,-28,-6.66666666666667,27,6.91666666666666,219,0.689655172413794
"2004K3",72,-3,-2.33333333333333,2.33333333333333,9.33333333333333,-5.66666666666667,-15,13.3333333333333,28.3333333333333,-30.3333333333333,-6.66666666666667,34.6666666666667,8.08333333333333,223.9,2.23744292237442
"2004K4",74.6666666666667,-4.33333333333333,-0.666666666666667,8.33333333333333,10,-4,-14.3333333333333,12.3333333333333,28.6666666666667,-30.6666666666667,-6.33333333333333,35.3333333333333,9.08333333333333,230.5,2.94774452880751
"2005K1",72.5333333333333,-5.9,-0.7,7.56666666666667,12.2666666666667,-6.2,-16.1,12.7,31.0666666666667,-34.1,-10.3666666666667,37.9666666666667,8.39444444444445,226.2,-1.8655097613883
"2005K2",70.6,-9.36666666666667,-1.03333333333333,5.2,13.4666666666667,-3.73333333333333,-15.6666666666667,11,28,-28.5333333333333,-11.4333333333333,38.6333333333333,8.09444444444445,231.5,2.34305923961098
"2005K3",67.3,-2.63333333333333,-0.966666666666667,-3.43333333333333,19.6,-5.8,-14.0333333333333,12.5666666666667,29.7333333333333,-23.6,-1.76666666666667,34.4666666666667,9.28611111111112,234.3,1.20950323974083
"2005K4",72.1,-5.06666666666667,-1.43333333333333,-7.8,21,-7.1,-15.0333333333333,13.1666666666667,28.8333333333333,-24.9333333333333,-2.26666666666667,34.8,8.85555555555556,233.4,-0.384122919334184
"2006K1",72.5333333333333,-0.0333333333333333,4,-10.7333333333333,24.3,-8.7,-16.3666666666667,13.7,31.3333333333333,-27.4,3.03333333333333,35.9333333333333,10.1333333333333,237.9,1.9280205655527
"2006K2",72.1333333333333,-4.76666666666667,2.5,-13.7333333333333,23.5333333333333,-4.63333333333333,-15.6333333333333,14.5,30.6666666666667,-24.8,-2.23333333333333,34.5,9.33611111111111,240,0.882723833543508
"2006K3",72.9,-7.86666666666667,-1.43333333333333,-13.3666666666667,23.9,-3.43333333333333,-13.7666666666667,13.9,30.3666666666667,-21.8,6.2,34.9333333333333,10.0444444444444,235.3,-1.95833333333333
"2006K4",77,-10.6,0.966666666666667,-11.7333333333333,22.7666666666667,-4.23333333333333,-15.1,14.2,30.7666666666667,-26.1,0.0333333333333334,37.5666666666667,9.62777777777779,237.9,1.1049723756906
"2007K1",79.1666666666667,-8.73333333333333,-0.7,-11.1666666666667,23.4,-5.43333333333333,-16.9666666666667,12.4666666666667,31.8,-23.8333333333333,2.93333333333333,37.4,10.0277777777778,240.3,1.00882723833544
"2007K2",77.5333333333333,-8.1,1.6,-8.93333333333333,17.4333333333333,-4.5,-16.2666666666667,12.8,30.2,-18.5333333333333,2.33333333333333,33.9666666666667,9.96111111111111,240.2,-0.0416146483562363
"2007K3",78.3666666666667,-12.9666666666667,-1.76666666666667,-8.66666666666667,13.3,-1.66666666666667,-17.3666666666667,13.1,27.8666666666667,-16.6,14.3,30.2,9.84166666666667,242.8,1.08243130724397
"2007K4",77.7333333333333,-11.3333333333333,-2.8,-5.06666666666667,10.4333333333333,-0.766666666666667,-15.4,8.66666666666667,25.8,-4.96666666666667,19.1666666666667,25.9,10.6138888888889,246,1.31795716639209
"2008K1",78.6333333333333,-13.7666666666667,-2.1,4.23333333333333,-1.26666666666667,11.4666666666667,-13.8666666666667,4.4,25,24.9666666666667,21.9333333333333,24.5,13.6777777777778,246.1,0.0406504065040725
"2008K2",80.5,-17.3333333333333,-4.73333333333333,13.2333333333333,-7.6,16.3666666666667,-12.6333333333333,6.76666666666667,25.4333333333333,42.2,20.4666666666667,27.2666666666667,15.8277777777778,247.2,0.446972775294596
"2008K3",74.3666666666667,-25.9333333333333,-8.1,20.2,-21.5,21.6333333333333,-10.3,3.76666666666667,22.8,50.6666666666667,10.0333333333333,23.7666666666667,13.45,243.6,-1.45631067961165
"2008K4",74.7666666666667,-32.8,-9.9,41.3333333333333,-39.1,9.73333333333333,-12.3333333333333,0.1,23.2333333333333,27.1333333333333,-17.7666666666667,23.7,7.34166666666666,234.3,-3.81773399014778
"2009K1",71.1333333333333,-16.3666666666667,-9.56666666666667,47.7333333333333,-47.8333333333333,2.63333333333333,-12.4666666666667,0.766666666666667,24.8333333333333,-13.5333333333333,-37.0666666666667,26.1666666666667,3.0361111111111,232.2,-0.896286811779778
"2009K2",68,-6.83333333333333,-6.36666666666667,32.4,-44.1333333333333,-12.0666666666667,-14.1333333333333,0.5,26.0333333333333,-17.7333333333333,-27.8333333333333,26.5666666666667,2.03333333333334,234.8,1.11972437553833
"2009K3",67.3,-4.26666666666667,-8.83333333333333,22.3333333333333,-40.4,-19.3333333333333,-13.9666666666667,-0.2,24.3666666666667,-15.7,-28.4333333333333,26.7666666666667,0.802777777777783,235.1,0.127768313458265
"2009K4",69.3666666666667,-5.06666666666667,-10.5,22.0333333333333,-35.4,-16.2333333333333,-13.4666666666667,-0.6,24.3333333333333,-23.9,-24.7,25.3333333333333,0.933333333333328,234.1,-0.425350914504463
"2010K1",68.1333333333333,-4.96666666666667,-5.8,16.3333333333333,-25,-17.1666666666667,-15.2666666666667,0.6,22.8,-20.4666666666667,-14.6333333333333,27.0666666666667,2.6361111111111,237.7,1.53780435711235
"2010K2",71.3333333333333,-5.36666666666667,-4.26666666666667,-1.7,-16.0333333333333,-15.9333333333333,-13.3333333333333,1.76666666666667,28.5,-19.8666666666667,-8.8,32.6333333333333,4.07777777777778,235.7,-0.8413967185528
"2010K3",68.3666666666667,-5.26666666666667,-4.53333333333333,-3.16666666666667,-6.63333333333333,-15.3,-12.6666666666667,1.8,25.5,-13,0.166666666666667,26.4666666666667,5.14444444444445,236.9,0.509121764955456
"2010K4",68.9333333333333,-7.8,-5.93333333333333,7.9,-11.1333333333333,-11.9,-12.3333333333333,0.6,26.3666666666667,-4.86666666666667,11.6333333333333,23.3666666666667,7.06944444444445,238.2,0.548754748839175
"2011K1",70.6,-8.96666666666667,-5.13333333333333,2.93333333333333,-7.76666666666667,-9.53333333333333,-10.0666666666667,0.366666666666667,24.5666666666667,7.43333333333333,23.5333333333333,20,8.99722222222222,235.2,-1.25944584382871
"2011K2",68.7333333333333,-9.9,-4.16666666666667,-9.66666666666667,-2.26666666666667,-13.3666666666667,-11.4666666666667,0.0666666666666667,25.2666666666667,17.1333333333333,18.5333333333333,24.7666666666667,8.63888888888888,238.2,1.27551020408163
"2011K3",65.6666666666667,-9.16666666666667,-5.93333333333333,6.13333333333333,-13.6666666666667,-4.8,-8.76666666666667,-1.33333333333333,25.2333333333333,17.3,11.3,27.9333333333333,9.15833333333333,238.6,0.167926112510508
"2011K4",63.6333333333333,-10.9666666666667,-9.13333333333333,18.6666666666667,-22.0333333333333,9.56666666666667,-4.43333333333333,-4.56666666666667,23.6333333333333,20.5,25.5,20.3,10.8888888888889,238.8,0.0838222967309399
"2012K1",65.6333333333333,-8.7,-8.4,11.9,-18.4,-2.4,-8.06666666666667,-3.7,22.7,27.0333333333333,16.7666666666667,23.4,9.81388888888889,237.4,-0.58626465661642
"2012K2",66.5333333333333,-10.0333333333333,-6.63333333333333,1.4,-6.96666666666667,-8.76666666666667,-7.83333333333333,-3.6,25.9,27.9,15.8,23,9.725,238.5,0.463352990732946
"2012K3",65.2,-6.53333333333333,-6.3,8.96666666666667,-10.5666666666667,-5.63333333333333,-7.73333333333333,0.266666666666667,25,27.1333333333333,14.5333333333333,25.0333333333333,10.7805555555555,238.1,-0.167714884696024
"2012K4",64.0666666666667,-11.6333333333333,-7.2,16.1666666666667,-14.5333333333333,-3.06666666666667,-8.26666666666667,-4.3,23.9666666666667,26.7666666666667,14.2,23.3666666666667,9.96111111111113,240.2,0.881982360352795
"2013K1",63.6333333333333,-11.7,-7.6,13.6666666666667,-10.9,-5.36666666666667,-8.56666666666667,-2.5,24.1333333333333,12.6,10.7666666666667,21.0333333333333,8.26666666666666,241.7,0.62447960033305
"2013K2",63.6666666666667,-13.6666666666667,-4.86666666666667,2.76666666666667,-6.33333333333333,-8.66666666666667,-9.73333333333333,-1.76666666666667,24.1333333333333,7.2,10.0666666666667,23.2,7.16666666666667,242.3,0.248241621845269
"2013K3",66,-7.23333333333333,-5.86666666666667,-6,4.73333333333333,-16.2666666666667,-10.5333333333333,-0.366666666666667,25.8,6.83333333333333,14.1333333333333,28.2666666666667,8.29166666666667,242.3,0
"2013K4",66.4666666666667,-11.7,-5.2,-6.06666666666667,5.93333333333333,-16.1666666666667,-9.9,-1.13333333333333,22.9333333333333,4.2,15.3666666666667,23.2333333333333,7.33055555555555,242.2,-0.0412711514651387
"2014K1",63.9666666666667,-8.73333333333333,-5.9,-7.66666666666667,7.9,-17.4,-10.1666666666667,-0.833333333333333,26.1,-2.26666666666667,17.3666666666667,25.5,7.32222222222222,239.5,-1.11478117258463
"2014K2",60.2666666666667,-6.23333333333333,-4.96666666666667,-12.1333333333333,11.7,-20.1,-11.1333333333333,1.03333333333333,26.1666666666667,-1.03333333333333,21.5,28.0666666666667,7.76111111111112,241.4,0.793319415448845
"2014K3",61,-6.7,-3.73333333333333,-13.6666666666667,15.3666666666667,-22.4333333333333,-14.2666666666667,3.3,23.5,-3.53333333333333,18.6666666666667,24.9,6.86666666666667,242.2,0.33140016570008
"2014K4",61.1666666666667,-10,-4.46666666666667,-3.63333333333333,11.4666666666667,-14.6666666666667,-13.6666666666667,4.36666666666667,25.5666666666667,-5.43333333333333,19.1,26.4,8.01666666666667,243.2,0.41288191577209
"2015K1",58.6666666666667,-2.16666666666667,-3.06666666666667,-11.5666666666667,15.3333333333333,-19.9333333333333,-14.3,6.03333333333333,24,-17.7333333333333,10.7,26.4333333333333,6.03333333333333,242.4,-0.328947368421051
"2015K2",59.5666666666667,-2.66666666666667,-3.36666666666667,-15.2333333333333,20.1333333333333,-23.2333333333333,-15.1,5.13333333333333,27.2,-8.43333333333333,20.0666666666667,28.1,7.68055555555556,244.5,0.866336633663356
"2015K3",61.2666666666667,-6.46666666666667,-3.56666666666667,-10.8,15.4666666666667,-11.4,-13.1,5.76666666666667,27.6,-11.0333333333333,15.4333333333333,29.2666666666667,8.20277777777779,248.7,1.71779141104293
"2015K4",63.6333333333333,-8.6,-4.76666666666667,-5.13333333333333,9.83333333333333,-5.76666666666667,-12.1333333333333,5.33333333333333,27.1333333333333,-13.4333333333333,16.2666666666667,27.6333333333333,8.33333333333333,249.8,0.442299959790926
"2016K1",63.2666666666667,-5.6,-5.2,0.166666666666667,8.5,-1.03333333333333,-11.6333333333333,4.73333333333333,25.6666666666667,-18.3666666666667,12.8,28.8666666666667,8.5138888888889,252.7,1.16092874299438
"2016K2",61.2666666666667,-5.86666666666667,-3.1,0.6,5.96666666666667,-3.43333333333333,-12.5333333333333,5.86666666666667,27.5666666666667,-13.1333333333333,15.6666666666667,28.2,8.92222222222224,254,0.514444004748715
"2016K3",59.2333333333333,-5.4,-3.6,-1.23333333333333,4.9,-0.133333333333333,-11,5.5,27.1333333333333,-15.2,13.5,27.3,8.41666666666666,254.1,0.039370078740153
