parameter,Estimate,Std.Error,t.value,Pr(>|t|)
(Intercept),3.493179075418624,1.8965325080744977,1.8418767200384885,0.06858045338247383
Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.,0.2260466057782649,0.07136844460176665,3.167318652376366,0.002063174098462448
Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden,-0.09600841289800592,0.04150046691436875,-2.313429704203276,0.022833032958148845
Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener,-0.07298072387944195,0.06606864502864677,-1.104619655023925,0.2720853467728382
Priser.i.dag..sammenlignet.med.for.et.aar.siden,-0.025519378258789336,0.012613188712876365,-2.023229719280858,0.045829808255463164
Priser.om.et.aar..sammenlignet.med.i.dag,0.014625625219584623,0.011747385638324304,1.2450110747935643,0.2161582639198356
